node,in_degree
8c2a53edba7a1432a0c55adaf62393ea754f8fc267e98b8055f89109e8f3cf30,0
d70a681d705d2c94e11730f74a3a10df228ecf8c35ed0a806a84b8af171faa4b,1
2e11348fac39aa788ccc211648288c6129842cea248211e62f41c0e4a30ce16c,0
b4df003872ea62ff33468e26a13507d80ffc8e47cf705e1756cffdca5469fe34,1
775b35caceba66b5645cf997900d25e24f5608eaa32506507ff81bc841734267,0
f20e14f0606a5288e9d5fa18be48b9032f8919057abc2ed621f410a209e8b071,1
93512fb32f60771b2c9862fec9922e8d828ff70df400c290ec647a95544976c9,0
0f8db94b4abfc55469216b52c4e13bde00ef4852f393b1d41af46497ee176a56,1
51d30b479f537678248316da22a51cd11a73e7237465d4ccc338d8c9fdacdc63,1
5f1b51543d2a7c880e20400d17d987dc5d558c92f7eaaa1421adf2602d33bd6a,1
29a27c60d036746165b61653a29db44ea1cd785a1bf0a5f039b02bd088938654,1
3ee55ae6ca01f7787a656a323a80b1b8e4006a12b06329867552763ce6a9718d,0
3276d3d130775a86e32b6376b7a64d1cbc211cb446b195032b8df57613223342,1
f3c52f51f423f4044438f18088a562483f0bac529682c81d892a2c13ef43ccf0,1
dbb2b2da763e273606164df0b73573329bfb9193de44b723c606ef2ffe5b8aa6,0
41571e892526d1bf1ce2df617288fe63cea04757be6057330da08d121d052106,1
fc97793259291b49f7430ad972189b8fd83272fdc87ecb5c19aedb415c1bf5ab,0
e330b790e43058cdcbddde16f035b65251e3ec04a1692e453dae575230a00ef5,1
3ae4f7d1d30e5c1df1efc63657f06eb1ed3403b19be1d49df3eb412609ddcf9c,0
398d75a914728b51d406f93918467b42fad2d3944a68da65a6673d6954583391,1
f4fb6b30dcfaee245370bb88ee2194089edd15586f47f0691298606ca8ca1015,0
0ab3aa2af663f9955b0cb696f495c92b46f6e5b94dbad8701a259786c6612f79,1
521a01bb4cf39cebc095efc1b104beeaf5cbe58f4619221b261f91a9886e90a2,0
aac0f163e36fe6efbf807be577fff71175f5930baad1292673eee293d5e250fa,1
d813314aa1ddfcc091396afee93806c48eb068ef8abc97189b156e46a30ccb51,0
5af915a5526c75e281e7a2ac2bc19dd55a28c719f8a2b6a39a996f1b5b8d8669,1
ce3a747f5f72e8330f42d321f65db988db0c7a663d5d373f7b0f5432ecab6e06,1
76793a25654fb0c6a0f5d4fc9b7e69ab8ce81e923298562337e61eec2fc66d0a,0
89ec45b62eb10ad34e4c509843e720ae5b64015e11434f93aaacf109cbb08501,1
33d26b4e655432eadb9ce57d012d1fb3c646d1bc299c0eec363ff659383e19d8,1
f25923735b2fe9337c838416c52dbd407037ccdbd232c595b8a733149d8133be,0
3745978f86f4910eebd2a7174307fa6ad6724ec4a1e8285bb093ca2b608afd65,1
eb22748a814f6c610cb9893be3e492b329ad52c0e478c9a16f7cd54585dd3e81,0
985200e18bdff9d734a491b41b7ec3eb2706940b66abde017c653613523a138b,1
ee87d5955dd186aea30d4cdaa22d14fea052140d388033ac6e7ff258bb90d4fd,1
083649a4c6134d3717f7549c0846ab820ac006f78733879a8391f4fe2ed0d325,1
bd20cba31ed618df7a30240affa935fcb3d3364040e3e9d951f02217ff724afd,0
6d6f73c605c644cc20366716a76ae13ca10e00ceac18d92da964c960d24557c5,1
fd3c6233a5ed1162e24a7e6ab736fa90d02e31fbb4ab335e484027efbb662b67,0
6c80789c5f94b61014a26f59165c841e2b64884a89edb952c14097e8f8da3d3b,1
