transaction_hash,spending_transaction_hash,value_spent
b4ef70c400ce66fd1ef81e7b37c4088e70ad0d15c35fe28e32b7ecd67d00d654,0fc319c788166efccff159857fee124c362259fe6ff745c57b06fae31453a411,4126031056.0
96a94de53d77e3f0f271abbbfc3e8997ebe8ec0cee9051d9b18e068aa13b68fc,b1e55d77422ae4ea998ac9bcb2a327a463dda711c689ea64529d61fba5186570,4109194226.0
6faba671529a82122034382fe4c5c241296c97878b8e9e79b3fc6423fecb866e,ff606f9c07a5283152bab2308de334ad509b6a0c09a24c9ae41e86bf3243fd05,4021673962.0
ff606f9c07a5283152bab2308de334ad509b6a0c09a24c9ae41e86bf3243fd05,9ef8816cc22196979ced1c54fa578532f32dc0fa412cb52c364e095e8768a088,4021673626.0
2fcb185eb34a2c7e38124690f2d46e4ead2ac94ea2cd57bda78a28c9c8020d83,8282df4e18cb55dceaf34f6dc05ddd8dc50e5c82b03c4c6c8f7ecff6f530a328,4021673185.0
8282df4e18cb55dceaf34f6dc05ddd8dc50e5c82b03c4c6c8f7ecff6f530a328,cf71f0755b578956ac69d29c11297cd0b4e7a1f90ae6deb4b2773294feced7c7,3972379525.0
43f6020d4bf76a574346fda8c16ae56050c2f2f9cd0618ce7f37b7f5f087308b,9ce59d99ea1c8a29c569486d615b7c822497196e7e1f4cb1e67575a40aad4b51,3771713344.0
9375e99815f44f4468ba7eeaaa0a921a5883f96c8feb8333c043cb31f4520882,031c53c393579c576dd7c7bb30670f879298618f0540b462c7dfe7caaf1d77bd,3471398816.0
031c53c393579c576dd7c7bb30670f879298618f0540b462c7dfe7caaf1d77bd,41a303815e7438e28c3a41b97f29254d6cb36127f06ce9745080ce0c6a6711f6,3470481172.0
41a303815e7438e28c3a41b97f29254d6cb36127f06ce9745080ce0c6a6711f6,cfba2ed92c5933e6cd54789eda616afaaa3b15d5d8adf10759fe282f9db68191,3469499128.0
cfba2ed92c5933e6cd54789eda616afaaa3b15d5d8adf10759fe282f9db68191,03745315f829d0a6608fbf7584fb312313efcae79589ee23210becbb3bfdb833,3468556784.0
03745315f829d0a6608fbf7584fb312313efcae79589ee23210becbb3bfdb833,66183a848600e42e1196b3da5eb6fe6aeeecd823b9243bcb1a192578dbba4cd5,3467592040.0
66183a848600e42e1196b3da5eb6fe6aeeecd823b9243bcb1a192578dbba4cd5,58a9e05c923ff82e17d8915b420250c54257160a0b45c1c7ca51493f34c251cf,3466641596.0
58a9e05c923ff82e17d8915b420250c54257160a0b45c1c7ca51493f34c251cf,dd67eea702b996309f54093c6b79f0659995f103cdba5dabc76192e80b695f98,3465650452.0
dd67eea702b996309f54093c6b79f0659995f103cdba5dabc76192e80b695f98,dd3a985bc657dc5c0475ecd28d12f3590c5464e4adf956e9a4ab1c87885cd46e,3464671108.0
dd3a985bc657dc5c0475ecd28d12f3590c5464e4adf956e9a4ab1c87885cd46e,cb2d3d48edd8fd2658b230d95996e293f8c65078abbb3cc4d630ce869c9c4fe4,3463682364.0
cb2d3d48edd8fd2658b230d95996e293f8c65078abbb3cc4d630ce869c9c4fe4,585b923d52f7fd5d4155f17451033c27a8e056dce05094e48ad768787af2b14b,3462725020.0
585b923d52f7fd5d4155f17451033c27a8e056dce05094e48ad768787af2b14b,ad97a8f24fceeefef4d434218fa028726fae5d9fd4472d605dda1d6fc4066d3c,3461730776.0
ad97a8f24fceeefef4d434218fa028726fae5d9fd4472d605dda1d6fc4066d3c,119d5d282fd15f41e2594803977c4f3536a292b49698232767142dc88792ae51,3460737332.0
119d5d282fd15f41e2594803977c4f3536a292b49698232767142dc88792ae51,0d211edb4773b6ed146267031fae61ca2be9bb0d93a338343b480d7032b927fe,3459803388.0
0d211edb4773b6ed146267031fae61ca2be9bb0d93a338343b480d7032b927fe,70faba7d3a5d1b8043fa61654257ad204ce084f78f69789a666e8399d3a58b49,3458815744.0
70faba7d3a5d1b8043fa61654257ad204ce084f78f69789a666e8399d3a58b49,326406ae12c64dbe7a2b518dd22e9fdf7fee1fb45c0b7361e06bc4bab015e8a3,3457907900.0
326406ae12c64dbe7a2b518dd22e9fdf7fee1fb45c0b7361e06bc4bab015e8a3,df19d6c89d37c23290fb20057df1d22a37ad35a1e70427f4838ca8c87cac7da2,3456995456.0
df19d6c89d37c23290fb20057df1d22a37ad35a1e70427f4838ca8c87cac7da2,20966557ee7b836ba60e6815deea7716d58ded0a5783139b3c822b59f8d176be,3456001812.0
be86fc023ad105fb1631bb9edce03b6e3f7f5e59ffd606d2c509f306cad18588,deed4ef9235531435e7d718b1d0d3954b17a2066741a1fa72cd0e081555caac0,3151841144.0
bd318cbe2de27adfd922548870e3beb5d2a679be5a8d105b5cc5146384f17547,78e08757f66c5a3dd91f810a92f4740c3ee048dd8399e8634900ead16c8526df,2959488929.0
78e08757f66c5a3dd91f810a92f4740c3ee048dd8399e8634900ead16c8526df,b9b6ab835b5d326cbbc17902a13209e5421736a8fea7940940a07cdd54b00496,2958698236.0
16a02a3878ef02db57d5e39aa740314871ca368f62cf18c08bc4a50e4f84ab63,cf71f0755b578956ac69d29c11297cd0b4e7a1f90ae6deb4b2773294feced7c7,2633746306.0
5f93db2622baf9d76f67d8c8215a8042dd023c24e3ef4b206a5cd7b1f9325301,54373bdfa642126641dc0bd49aeac8aa52c5d962bc8c0feb1732c437fc99d7d2,2499999851.0
54373bdfa642126641dc0bd49aeac8aa52c5d962bc8c0feb1732c437fc99d7d2,f52ef528a0eea29a64001281038122934a416dbe3341ad665a6833585dba0ba8,2499931644.0
9aa6db4713b2262c2b2c649b6367858ef85c6ab4b197362aed6d4fd3d36026a8,034ef79d3efe74b01508ef1a0a727b176cdd471f676371f32524fbfa97a23dcd,2430916556.0
51696ad3c9f57bafb7f03930dca433b936c490dd5a1dc53b5e0839bdaae50e0d,c52afa3d26dc2e585d670c3c77e62d5aa0034b118f05bbb20f0d537d2c6f59f9,2386553027.0
c52afa3d26dc2e585d670c3c77e62d5aa0034b118f05bbb20f0d537d2c6f59f9,7549c99c005cd622114578f194678c89c6298cb7ff476d30fe8969bf56db7e33,2385561799.0
7549c99c005cd622114578f194678c89c6298cb7ff476d30fe8969bf56db7e33,fb71330db58797717e58df4c6677a16ec4eb2ca61a1b566844a036a725545503,2384636271.0
fb71330db58797717e58df4c6677a16ec4eb2ca61a1b566844a036a725545503,3fa52055678f0cfe17c371a6b5af842e5e081eb9833482028adfec6654a98aa3,2383723243.0
3fa52055678f0cfe17c371a6b5af842e5e081eb9833482028adfec6654a98aa3,198967b0178373df51b0593da7faa5643284fe85a58c44ca6354727ee61130d3,2382815215.0
198967b0178373df51b0593da7faa5643284fe85a58c44ca6354727ee61130d3,16f4b5e5dfddf79b873621d049c375dd3347a0798fcdc8a32bf74aba92350f0c,2381882287.0
16f4b5e5dfddf79b873621d049c375dd3347a0798fcdc8a32bf74aba92350f0c,0626e6a2831881f7df5f2af03d32ec562678185560e57d6c20f50ac0fdb75ae6,2380904159.0
0626e6a2831881f7df5f2af03d32ec562678185560e57d6c20f50ac0fdb75ae6,ff688380cfd02793a4f399da935782ad14901055bf693323e662b3fe2157b0c8,2379961331.0
