transaction_hash,spending_transaction_hash,value_spent,z_score,window,mean_volume,std_volume
1c8e3893b4286572e826760c6c859620979d163aaffaff015153c6888646dfc9,58efd3eb017e401fba1c43212553ffa7940c922c2d3beff73344b2fc0a8bd979,3321907748.0,6.069441320316604,06-40,55811931.80617392,538121326.7951086
58efd3eb017e401fba1c43212553ffa7940c922c2d3beff73344b2fc0a8bd979,f63ca3e824b721aa9ab386f005f81bd743a51e6a3bafc0f78a74925c6aebe4c6,3320963020.0,6.067685716230762,06-40,55811931.80617392,538121326.7951086
f63ca3e824b721aa9ab386f005f81bd743a51e6a3bafc0f78a74925c6aebe4c6,c6098a815507b3137f26aed8f4c79205ab09cd44b215aea287cab33fb2990a17,3320034992.0,6.065961146038521,06-40,55811931.80617392,538121326.7951086
c6098a815507b3137f26aed8f4c79205ab09cd44b215aea287cab33fb2990a17,87f08f3ed9a5e444ce43083b916af0ace7cf8f15a5e87c322f0bba7b7a978ad1,3319085564.0,6.064196807862864,06-40,55811931.80617392,538121326.7951086
e0013e0001a59d47cad861729f58de899824e7af58c83b8eb4277119855295ea,e241b430d814c91b0ce15960a8b4f03d92e0bec748792a4f6f9b3eb1a3e7325d,3165994579.0,6.05693268398884,04-20,36691595.646278694,516648136.3786421
b24ab42c14124daad476af9d4ae71afa535e10f253086640c39cbc27cae51c37,991ee90fd6432f27cc7734fe1249fb3d1ec3b8dcd47eb274399420ba5e6a65b9,2958294885.0,6.05524529755789,08-20,38667200.31714139,482165055.45371693
991ee90fd6432f27cc7734fe1249fb3d1ec3b8dcd47eb274399420ba5e6a65b9,cf7bb540ba80cfd6ee290e0c681a6a346482f7ecc4a89c9ed89bd57dbc00897b,2957567105.0,6.053735897422462,08-20,38667200.31714139,482165055.45371693
694e38f8b8f9fe3387c4311f76aa8ba31d8a8721b098cce73d3ff828c66ccd2a,7789e2df57d865a15341e2070fff4f17540f6607e81d0bf951f731fdad897bd2,2764652967.0,6.052802315124644,14-40,35031188.60706275,450968268.29652154
cf7bb540ba80cfd6ee290e0c681a6a346482f7ecc4a89c9ed89bd57dbc00897b,f3340e1bc6a51e1fd2865185833e7c9b3b1cfa512580d590062d17d840f6c5d2,2957005191.0,6.052570499819206,08-20,38667200.31714139,482165055.45371693
4bbc6498139210b1e6c9be5628e0cdb416b0bb3ddd9cd347b81c6f347eb3b060,a098f8e4fcbe72474a62d78c373d9967f854add32d0fb92e1e621b149ad3c313,3476393800.0,6.052207477152376,04-40,48923233.88423859,566317426.9974664
ed8161b900c303ce558587139ab45e14b3f473484bf31d541d89d71efcdc873a,9c6bb60f65c21c98a3e9388d3429e395aa41525e31a6f9bd22d3a29250555f50,3740660710.0,6.048595715620339,18-40,43711030.903781585,611207932.0409766
9c6bb60f65c21c98a3e9388d3429e395aa41525e31a6f9bd22d3a29250555f50,2a0a7e82fecdf4242d16e567a7edee4e79563b389a2cc60c13eecbb24c518b58,3740647148.0,6.048573526772176,18-40,43711030.903781585,611207932.0409766
2a0a7e82fecdf4242d16e567a7edee4e79563b389a2cc60c13eecbb24c518b58,ee8c7e40fd602b45bb9f49261035637cdfbf9fd3ff71473501f6829a52397336,3740640281.0,6.0485622916431145,18-40,43711030.903781585,611207932.0409766
ee8c7e40fd602b45bb9f49261035637cdfbf9fd3ff71473501f6829a52397336,d712c799b20d9a8fca267eb43ec02e606a0d46fb0284aaa69900efb1084b946f,3740278554.0,6.047970468499079,18-40,43711030.903781585,611207932.0409766
