node,in_degree
38339ece8194aa32d2d10c234a7fc51562fc14c48f0cfdb4745b0b40aec83bd1,6
6fb687ab36528c435f0a6857570931d79884b7a33502618f8217ec1851a4e942,3
6979c166e9ffca58324fcface1212ff65bcf99479b48551c2bcc05e3852182c9,2
bed3c89e207afb751373c01ce61dc56cdae393e49ba9c020a27821d4cc001e13,3
a0df2fb9a8e38e7d6e07b510680bd74f4f64f6257bc10142ea1bc9b07d42d707,216
15aea882cf04bcc35077ae54266fa93aab6f9cf523334cc478e436afd29d3a70,2
6f3a30a16f9d87b6b451d25104f4b5dd2ecbd51649578cade4cbee0cac3f4406,8
a63009359576683d20129b88ac8f0f6ab20e2ce77c55ee0be86dc9eb6662a474,3
4509f9ea5c02a2da62e227aa0471eca2411a544c0a77b51c1c56edadcf7d9266,3
ad3b42d00ead08ae5943b1cf403aedaeaa5b962d87a59b94c2f2271d66c48e9d,7
02ceb837f43e4d94c95c491bc2c38e7304b3d2761b97d4872bb744233b4013e7,9
80c55374d34dd1e84ddf65e35e5ccd4c99b67a726d87782e5f9b6bb9471ea8a5,2
fe8f5214c5d504957cbfc99dfab4c6d441885cba17f8bd9ada476586602cd996,659
820f6e689b5f976dfe14fa9e1f8f4c31c6d10112d332092c13248a2afffb01f1,13
4d5cf9398372457b173e4920b76c59695073f5931d764d0618cab069119ab513,30
6c0f79f68e49ea43429ce4df4de476ae1abbb45d3f2a151cc9d7be3dcd40038d,33
612062751c6bec4ec3d02f048f312466fda4c938fd475dc283ced9006aef63c8,4
6efc3975d93f8e6237e6790bee42cbd43f5847e3204049e1fba7a31b009610b6,2
c8f07a1e6c16d3db268d1dee367142182fc24bbdf6f1f9944ded18cac109df75,6
c2a4787a6671deae0ad8ab339092ef7d1902c8c0679c59943c82f2aff9dd4548,3
7b158e610cf405ece758222a24e1fd6edf0c0aa787b5e078710b8599df0ada5c,4
271ca277d08d83eb21e109da6d6f3662ff16eeb08d82ea0a66caf4b4b74bb530,2
a38a2acaaff28093ebeda27ece11032845ab20b512a4494c0d76338815ed89c1,14
6b42d66c4303c5347958b96cbef680735eea44e47de348844c4670c65045acb6,114
721afd9aa712981f40aa7f5d6740061e9b5c2d9853e9047db6c2339bad266045,2
018dead78fc1ac5705d1f9337d6df70ce65f759687db881d604629cfddb0da25,203
4197ba819b77a592f4365dcff1e0c65c698a13d7fa4e5a957cb445f42389337a,3
a5f0daec3cf76afbde03d7dcd0a16419a80847dae06698508ecb7b0a02001421,3
ed0fed43fb101c935c412a823bcfe497dbc18710b94fcd4503a582c6633ddb29,2
32823a428534dda15e6c1f4e492b168750bacbe0d3bfa7aab68ce15e51c2b378,15
6848e23244eec50d6aa13191b2d384bbf7ac26e16be632f4b20ee650083b38a0,2
c6a7deb669304d7095c4f1c9e1c242d9909cf60b4979b47de5a06f965972d1b7,5
aab1c0e386798ac15554b3f4b5d787577a941a520b8f1fdf7d440dcffa791057,216
165362fcdc7fabf6ebc3adcd788713e4dab76fe1a3ea898fe2367dc937d27d24,3
3c1a52112ccd2c057b7d17a9c78b2c063482c0a220b493db8b79081826e3ce37,49
ae5abbe4a22b5a3f251d43f6c2a137b915525a7daf07feb06349d74e1e2ee189,36
65599184cf8c398ccd0b67cc22ecad7aa008739222603e745a728ac71d0251aa,36
e5424c412f7752195a24914a362f7d1024b78ca4f3e8793a10284b3e62e84804,4
87a2f2db0b9432354d1e5d3143ee6947b12b87ea2b2ce8d3cf02f6f730c938a3,60
0e9e9b1467b5724291c87a7c3839acfca05ecbdd429b73b0dde8ad7e224428c7,2
c9499af18e40b2ef7c7ab7b62208761c90470ebe9f819b3891cfd4313211d77e,70
f277f4c9bb633bf423c4ece07f250136101951d880c39763a7e7a0d13811342d,3
8fb1cbcf69323eade2f6618465bf48e0e51d7428f98dce9e877f9cb289d27ef9,3
837bd67904c2766538ef10072052f8d7870dcbc0881c9abe28421a225bed2a44,2
36de5a12e73a32cd8bd1ef996d97edddbbea41e0fa70162a887338be8b856419,4
d3bea32df50d443d3dd341273561ffb9f19d330ce0dc17092c4d17265ff17b56,3
3acfa8a09f747bf910497f140a09426649f8c9985db79131ba5744c9e8a91edb,4
84844ac7e10713950f852eb7efa602dc92a5ed5658522fead126cf4d3ba2b6ee,7
cf5ed0f5ab953e1e62dfce004af5dacd696f907e2645292a3cc3b6c37530ab56,46
542757af36404307fe36721282cc8d988dfaa69dcbec2f178113c84a5396d0e7,20
9d7d3a17327b65b3b6f5f63f15f225dfce9d3e441eddf6645518c3550f1bb1a5,4
932ff83f8c77a240f306767fbe21220f252cd5ade6b2ee0efc041111864de1e6,36
8e9a62f7430d47e3185a963300f1e57aa4af97b09b6e844e18a7c661674083fe,2
d7906b34d56c53e6aeba4559a2849f395d68e63c68889ca8a3148714732e51ad,11
cc8ecc842324aff4ab5e97ee5f4877852993f8a20053eaf963ec91bc8825b6a1,2
ab3119e2f9a62e4ae104f1498fd07a07728c55d4bdfebaf4c6d2a1bdeef21e2f,33
72b8cc2e7d7b5aa857e155bdd5803d24e0f1e9ed1a1dd443f3ac912b610e6152,78
636904bd66191278ff75054476c08659400e63e63dbbbee45f11dab8f1971b8d,9
